Info 0    [17:24:50.965] Starting TS Server
Info 1    [17:24:50.966] Version: 3.9.5
Info 2    [17:24:50.966] Arguments: /usr/local/bin/node /usr/local/bin/tsserver --logFile /Users/yanndepps/Documents/Kode/WEB/project_fox_game/.log/tsserver.log --logVerbosity info --cancellationPipeName /private/var/folders/hs/dvz6fjbx1bs67gxcstj0tzwh0000gn/T/a0dbdff5ca14d9d9d3890afb5b849661/tscancellation*
Info 3    [17:24:50.966] Platform: darwin NodeVersion: 14 CaseSensitive: false
Info 4    [17:24:52.424] Search path: /Users/yanndepps/Documents/Kode/WEB/project_fox_game/src
Info 5    [17:24:52.425] For info: /Users/yanndepps/Documents/Kode/WEB/project_fox_game/src/init.js :: No config files found.
Info 6    [17:24:52.430] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 7    [17:24:54.331] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true Elapsed: 1901ms
Info 8    [17:24:54.332] Project '/dev/null/inferredProject1*' (Inferred)
Info 9    [17:24:54.332] 	Files (160)

Info 10   [17:24:54.332] -----------------------------------------------
Info 11   [17:24:54.555] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 12   [17:24:54.557] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false Elapsed: 2ms
Info 13   [17:24:56.981] Before ensureProjectForOpenFiles:
Info 14   [17:24:56.982] After ensureProjectForOpenFiles:
Info 15   [17:24:56.982] got projects updated in background, updating diagnostics for /Users/yanndepps/Documents/Kode/WEB/project_fox_game/src/init.js
Info 16   [17:44:1.737] Search path: /Users/yanndepps/Documents/Kode/WEB/project_fox_game/src
Info 17   [17:44:1.738] For info: /Users/yanndepps/Documents/Kode/WEB/project_fox_game/src/gameState.js :: No config files found.
Info 18   [17:44:1.744] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 19   [17:44:2.3] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 1 structureChanged: true Elapsed: 259ms
Info 20   [17:44:2.3] Project '/dev/null/inferredProject2*' (Inferred)
Info 21   [17:44:2.3] 	Files (160)

Info 22   [17:44:2.3] -----------------------------------------------
Info 23   [17:44:2.276] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 24   [17:44:2.278] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 2 structureChanged: false Elapsed: 2ms
Info 25   [17:44:4.622] Before ensureProjectForOpenFiles:
Info 26   [17:44:4.622] After ensureProjectForOpenFiles:
Info 27   [17:44:4.623] got projects updated in background, updating diagnostics for /Users/yanndepps/Documents/Kode/WEB/project_fox_game/src/init.js,/Users/yanndepps/Documents/Kode/WEB/project_fox_game/src/gameState.js
Info 28   [17:46:2.132] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 29   [17:46:2.188] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 3 structureChanged: false Elapsed: 55ms
Info 30   [17:46:2.189] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 31   [17:46:2.191] getCompletionData: Get current token: 0
Info 32   [17:46:2.191] getCompletionData: Is inside comment: 0
Info 33   [17:46:2.191] getCompletionData: Get previous token 1: 0
Info 34   [17:46:2.191] getCompletionData: Get previous token 2: 0
Info 35   [17:46:2.198] getCompletionData: Semantic work: 7
Info 36   [17:46:2.211] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 12
Info 37   [17:46:2.277] getCompletionData: Get current token: 0
Info 38   [17:46:2.277] getCompletionData: Is inside comment: 0
Info 39   [17:46:2.277] getCompletionData: Get previous token 1: 0
Info 40   [17:46:2.277] getCompletionData: Get previous token 2: 0
Info 41   [17:46:2.281] getCompletionData: Semantic work: 4
Info 42   [17:46:2.291] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 10
Info 43   [17:46:2.352] getCompletionData: Get current token: 0
Info 44   [17:46:2.352] getCompletionData: Is inside comment: 0
Info 45   [17:46:2.352] getCompletionData: Get previous token 1: 0
Info 46   [17:46:2.352] getCompletionData: Get previous token 2: 0
Info 47   [17:46:2.356] getCompletionData: Semantic work: 4
Info 48   [17:46:2.366] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 10
Info 49   [17:46:11.767] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 50   [17:46:11.816] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 4 structureChanged: false Elapsed: 49ms
Info 51   [17:46:11.816] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 52   [17:46:11.845] getCompletionData: Get current token: 0
Info 53   [17:46:11.845] getCompletionData: Is inside comment: 0
Info 54   [17:46:11.845] getCompletionData: Get previous token 1: 0
Info 55   [17:46:11.845] getCompletionData: Get previous token 2: 0
Info 56   [17:46:11.849] getCompletionData: Semantic work: 4
Info 57   [17:46:11.857] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 6
Info 58   [17:46:11.917] getCompletionData: Get current token: 0
Info 59   [17:46:11.917] getCompletionData: Is inside comment: 0
Info 60   [17:46:11.917] getCompletionData: Get previous token 1: 0
Info 61   [17:46:11.917] getCompletionData: Get previous token 2: 0
Info 62   [17:46:11.922] getCompletionData: Semantic work: 5
Info 63   [17:46:11.930] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 8
Info 64   [17:46:11.986] getCompletionData: Get current token: 0
Info 65   [17:46:11.986] getCompletionData: Is inside comment: 0
Info 66   [17:46:11.986] getCompletionData: Get previous token 1: 0
Info 67   [17:46:11.986] getCompletionData: Get previous token 2: 0
Info 68   [17:46:11.988] getCompletionData: Semantic work: 2
Info 69   [17:46:11.994] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 6
Info 70   [17:46:14.520] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 71   [17:46:14.556] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 5 structureChanged: false Elapsed: 36ms
Info 72   [17:46:14.556] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 73   [17:46:16.225] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 74   [17:46:16.261] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 6 structureChanged: false Elapsed: 36ms
Info 75   [17:46:16.262] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 76   [17:46:16.291] getCompletionData: Get current token: 0
Info 77   [17:46:16.291] getCompletionData: Is inside comment: 0
Info 78   [17:46:16.291] getCompletionData: Get previous token 1: 0
Info 79   [17:46:16.291] getCompletionData: Get previous token 2: 0
Info 80   [17:46:16.291] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 81   [17:46:16.291] Returning an empty list because completion was requested in an invalid position.
Info 82   [17:46:17.59] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 83   [17:46:17.103] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 7 structureChanged: false Elapsed: 44ms
Info 84   [17:46:17.103] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 85   [17:46:17.135] getCompletionData: Get current token: 0
Info 86   [17:46:17.135] getCompletionData: Is inside comment: 0
Info 87   [17:46:17.135] getCompletionData: Get previous token 1: 0
Info 88   [17:46:17.135] getCompletionData: Get previous token 2: 0
Info 89   [17:46:17.135] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 90   [17:46:17.135] Returning an empty list because completion was requested in an invalid position.
Info 91   [17:46:18.85] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 92   [17:46:18.127] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 8 structureChanged: false Elapsed: 42ms
Info 93   [17:46:18.127] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 94   [17:46:18.158] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 95   [17:46:18.278] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 9 structureChanged: false Elapsed: 120ms
Info 96   [17:46:18.278] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 97   [17:46:18.388] getCompletionData: Get current token: 0
Info 98   [17:46:18.388] getCompletionData: Is inside comment: 0
Info 99   [17:46:18.388] getCompletionData: Get previous token 1: 0
Info 100  [17:46:18.388] getCompletionData: Get previous token 2: 0
Info 101  [17:46:18.388] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 102  [17:46:18.389] Returning an empty list because completion was requested in an invalid position.
Info 103  [17:46:18.620] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 104  [17:46:18.651] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 10 structureChanged: false Elapsed: 31ms
Info 105  [17:46:18.651] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 106  [17:46:19.819] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 107  [17:46:19.850] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 11 structureChanged: false Elapsed: 31ms
Info 108  [17:46:19.850] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 109  [17:46:20.273] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 110  [17:46:20.300] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 12 structureChanged: false Elapsed: 27ms
Info 111  [17:46:20.300] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 112  [17:46:31.996] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 113  [17:46:32.25] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 13 structureChanged: false Elapsed: 28ms
